标题,小区名称,所在区市,详细地址,总价,单价,房屋户型,房屋朝向,建筑面积,所在楼层,户型结构,建筑类型,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,详情页
三轨相交 楼层好 采光nice 精装修 拎包入住 诚意出售,金杨新村四街坊,浦东,金杨,496.0,82447,2室1厅1厨1卫,东,60.16㎡,高楼层 (共6层),平层,板楼,简装,一梯四户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105233467.html
保利央企，全南户型，精装拎包入住，得房率高诚心出售,保利叶上海(二期),宝山,顾村,485.0,57547,3室2厅1厨2卫,南,84.28㎡,中楼层 (共26层),平层,板楼,精装,两梯四户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105898400.html
已核验备案+单价低+18号线+看房随时+业主诚意,绿地康桥新苑,浦东,康桥,468.0,53806,2室2厅1厨1卫,南北,86.98㎡,低楼层 (共6层),平层,板楼,简装,一梯两户,无,2021,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107104177141.html
南北两房，小区位置好，通风好，采光好，免增值税。,保利佳苑,闵行,老闵行,288.0,39577,2室1厅1厨1卫,南,72.77㎡,高楼层 (共18层),平层,板楼,简装,二十梯四户,有,2022,动迁安置房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107106103086.html
业主老客户，信任链家，看房给钥匙，诚心出售,达城家园,浦东,康桥,405.0,52755,2室2厅1厨1卫,南北,76.77㎡,中楼层 (共14层),平层,板楼,精装,一梯两户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105984324.html
新凯城尚樱苑 2室1厅 南 北,新凯城尚樱苑,松江,泗泾,288.0,38762,2室1厅1厨1卫,南北,74.3㎡,中楼层 (共18层),平层,板楼,简装,两梯四户,有,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106014899.html
新凯城紫荆苑新出炉大3房，好位置好楼层好价位！,新凯城紫荆苑,松江,泗泾,319.0,38149,3室1厅1厨1卫,南,83.62㎡,低楼层 (共18层),平层,板楼,简装,两梯四户,有,2022,动迁安置房,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107105580856.html
地铁口低总价两房，一梯两户，全明户型采光好。,长桥七村,徐汇,长桥,349.0,62001,2室1厅1厨1卫,南,56.29㎡,高楼层 (共6层),平层,板楼,简装,一梯两户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105514816.html
张江南+11号线秀沿路地铁位置好 南北房型,汤巷馨村(二期),浦东,康桥,465.0,53101,2室1厅0厨1卫,南,87.57㎡,高楼层 (共14层),平层,板楼,毛坯,一梯四户,有,2022,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105755385.html
小区房龄新，高楼层采光视野好，动迁税少,金沙鼎苑,嘉定,江桥,382.0,48130,2室2厅1厨1卫,南,79.37㎡,中楼层 (共18层),平层,板楼,毛坯,一梯四户,有,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105519903.html
刚需小两房看过来 沿河景观 中间层 价格可谈,茉莉雅苑,松江,泗泾,260.0,36112,2室1厅1厨1卫,南,72㎡,低楼层 (共13层),平层,板楼,毛坯,两梯四户,有,2022,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105706453.html
正气南北三房！！！整个大居只这一个在卖的！！！,美罗家园宝欣苑五村,宝山,罗店,328.0,37025,3室1厅1厨1卫,南,88.59㎡,低楼层 (共18层),平层,板楼,毛坯,两梯四户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106205839.html
杨浦滨江炙热房源 南北通透 高区采光,中轩丽苑,杨浦,周家嘴路,860.0,91305,2室2厅1厨1卫,南北,94.19㎡,中楼层 (共14层),平层,板楼,简装,一梯两户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105950485.html
电梯高区+中环边上+停车方便+安静位置,中梅苑,闵行,梅陇,715.0,74309,2室2厅1厨1卫,南,96.22㎡,中楼层 (共11层),平层,板楼,简装,一梯三户,有,2021,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107104731388.html
品质小区+业主急售+随时看房+价格可谈+高层景观视野好,保利叶上海(二期),宝山,顾村,465.0,55312,3室2厅1厨1卫,南,84.07㎡,中楼层 (共26层),平层,板楼,毛坯,两梯四户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106051961.html
【绝世好房】近地铁，环境优美，位置适中，价格美丽,桃浦二村永汇新苑,普陀,桃浦,395.0,49969,2室2厅1厨1卫,南,79.05㎡,高楼层 (共6层),平层,板楼,简装,一梯两户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105468338.html
三面环水登高望远景观房，坐拥阳台就可看佘山,崧泽华城秀景苑,青浦,赵巷,349.0,43538,3室1厅1厨1卫,南北,80.16㎡,高楼层 (共11层),平层,板楼,简装,一梯三户,有,2021,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107104818702.html
动迁房，税费少，房龄新，电梯房,美罗家园宝欣苑五村,宝山,罗店,225.0,32766,2室1厅1厨1卫,南,68.67㎡,高楼层 (共18层),平层,板楼,毛坯,两梯四户,有,2021,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107104348729.html
【地铁8号线】【太平洋美食城】【花园式小区】钥匙,星云苑,杨浦,中原,755.0,79407,2室1厅1厨1卫,南北,95.08㎡,低楼层 (共14层),平层,板楼,精装,一梯两户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106157578.html
近地铁+中间楼层+看房有钥匙+双南两房+位置安静满五年,罗阳七村(华宝小区),闵行,梅陇,322.0,62464,2室1厅1厨1卫,南,51.55㎡,中楼层 (共6层),平层,板楼,简装,一梯三户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106216460.html
高区景观房，内环内，近地铁，户型方正，采光通风好,凤凰大楼,杨浦,鞍山,699.0,63293,2室2厅1厨1卫,西南,110.44㎡,高楼层 (共25层),平层,塔楼,精装,两梯八户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106096794.html
小区靠中间位置+采光无遮挡+诚心出售+位置好,绿地康桥新苑,浦东,康桥,490.0,63161,2室2厅1厨1卫,南北,77.58㎡,高楼层 (共6层),平层,板楼,简装,一梯两户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106170269.html
电梯高层 南北双阳台 南北通 业主诚意 看房方便,永兴小区,闵行,航华,346.0,53861,2室1厅1厨1卫,南,64.24㎡,高楼层 (共6层),平层,板楼,简装,一梯四户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106073215.html
近地铁中间楼层的房子+客厅带窗,桃浦三村石榴苑,普陀,桃浦,200.0,44763,1室1厅1厨1卫,南,44.68㎡,中楼层 (共6层),平层,板楼,简装,一梯四户,无,2022,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107105760239.html
一手动迁+看房方便+清水毛坯+景观楼层,惠益新苑南苑,浦东,惠南,298.0,29747,3室2厅1厨1卫,南,100.18㎡,高楼层 (共14层),平层,板楼,毛坯,两梯四户,有,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106239998.html
中间楼层，位置好，业主诚意出售,金杨新村五街坊,浦东,金杨,350.0,61501,2室1厅1厨1卫,南,56.91㎡,中楼层 (共6层),平层,板楼,精装,一梯四户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106086876.html
户型方正税费少房龄新的电梯房哪里找？看这个房子！！,美罗家园宝欣苑五村,宝山,罗店,305.0,34429,3室1厅1厨1卫,南,88.59㎡,低楼层 (共18层),平层,板楼,精装,一梯四户,暂无数据,2022,商品房,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107106260761.html
此房满5v1 精装修 楼层好 业主诚意,控江西三村,杨浦,黄兴公园,264.0,67108,2室1厅1厨1卫,南,39.34㎡,中楼层 (共5层),平层,板楼,精装,一梯四户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106273467.html
清水毛坯，南北通两房。看房方便，诚心出售,崧泽华城秀景苑,青浦,赵巷,306.0,44291,2室1厅1厨1卫,南,69.09㎡,中楼层 (共11层),平层,板楼,精装,一梯三户,暂无数据,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105767224.html
精装修的双南房型 拎包入住 税费少  位置好 看房方便,永和二村,静安,永和,340.0,64799,2室1厅1厨1卫,南,52.47㎡,低楼层 (共6层),平层,板楼,精装,一梯四户,无,2022,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107106204292.html
一梯两户 小三房带二十平双天井,国和二村,杨浦,中原,457.0,73722,3室1厅1厨1卫,南,61.99㎡,低楼层 (共6层),平层,板楼,简装,一梯两户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106229435.html
首付仅需140万  单价低   中间楼层  位置好,花苑村桂花园,徐汇,康健,408.8,67127,2室1厅1厨1卫,西南,60.9㎡,中楼层 (共6层),平层,板楼,精装,一梯四户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105701058.html
精装修可直接拎包入住+楼层好让你少爬点楼,樱花园(徐汇),徐汇,康健,310.0,74252,1室1厅1厨1卫,南,41.75㎡,中楼层 (共6层),平层,板楼,精装,一梯四户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106135741.html
14号嘉怡路地铁口50米，南北户型2房，近地铁品质高,天际蓝桥,嘉定,江桥,570.0,58661,2室2厅1厨1卫,南北,97.17㎡,低楼层 (共17层),平层,板楼,简装,两梯四户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107104900928.html
2020年新装修没住过人，南北通，可以看到陆家嘴三件套,绿洲康城亲水湾(中央区),浦东,御桥,628.0,65629,2室2厅1厨1卫,南北,95.69㎡,高楼层 (共23层),平层,板楼,精装,两梯五户,有,2021,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107104235476.html
房屋朝南带阳台，中间楼层，地铁口；全明户型,天台家园,长宁,仙霞,1080.0,90377,3室1厅1厨1卫,南,119.5㎡,中楼层 (共12层),平层,板楼,简装,一梯三户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105921329.html
全明户型，通风采光好，满五年税费少，看房随时方便。,工农四村星源绿苑,杨浦,中原,380.0,60917,2室1厅1厨1卫,南北,62.38㎡,高楼层 (共6层),平层,板楼,精装,一梯三户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105890102.html
金色中环，商品房，电梯房，中层，南北格局，满五年,锦绣华都,浦东,御桥,700.0,77735,2室1厅1厨1卫,南北,90.05㎡,高楼层 (共18层),平层,板楼,简装,两梯三户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105988800.html
内环滨江品质小区，一梯一户，南北通透，小区位置好,广杭苑,杨浦,东外滩,765.0,72705,3室2厅1厨2卫,南北,105.22㎡,中楼层 (共7层),平层,板楼,精装,一梯一户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105585013.html
楼层好采光好南北朝向，诚心在售三房，房东诚意出售,绿地璀璨天城,闵行,老闵行,495.0,51996,3室2厅1厨2卫,南北,95.2㎡,中楼层 (共27层),平层,板楼,简装,十八梯四户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106279419.html
张江南近前滩五轨在旁地铁商品大两房中间位置视野开阔,城中花园,浦东,康桥,575.0,59029,2室2厅1厨1卫,南北,97.41㎡,高楼层 (共12层),平层,板楼,简装,一梯两户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105807286.html
金榜两房 店长力荐 采光视野佳,金榜新苑1900弄,闵行,颛桥,389.0,48705,2室2厅1厨1卫,南北,79.87㎡,中楼层 (共14层),平层,板楼,毛坯,一梯两户,有,2022,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105764169.html
2017年品质小区+新城物业+地铁200米,新城盛世,青浦,盈浦,620.0,54766,3室2厅1厨2卫,南,113.21㎡,中楼层 (共16层),平层,板楼,精装,一梯两户,有,2022,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107105526912.html
贷款高、近地铁、花园位置、中楼层、在售两房总价醉低,源城锦翠苑,浦东,杨思前滩,630.0,86456,2室1厅1厨1卫,南北,72.87㎡,中楼层 (共6层),平层,板楼,精装,一梯两户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105841475.html
近地铁+主卧朝南+采光好+诚意出售,新凯城紫竹苑,松江,泗泾,279.0,40330,2室1厅1厨1卫,南,69.18㎡,高楼层 (共12层),平层,板楼,简装,两梯四户,有,2022,动迁安置房,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107105829321.html
满五年  中楼层 一梯两户 精装修,好旺花苑,宝山,大华,476.0,64325,2室1厅1厨1卫,南,74㎡,中楼层 (共6层),平层,板楼,精装,一梯两户,无,2022,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107105336137.html
小高层一梯两户 楼层好 产权清晰 业主诚意卖,绿地世纪城(一期),普陀,武宁,1050.0,110434,2室2厅1厨1卫,南北,95.08㎡,中楼层 (共15层),平层,板楼,简装,一梯两户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105851420.html
健身楼层，烫金地段，交通便利，急售，急售,宝隆新村,闵行,七宝,568.0,67943,3室1厅1厨1卫,南北,83.6㎡,中楼层 (共8层),平层,板楼,精装,一梯三户,无,2021,售后公房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107104808297.html
保养好 视野佳 满五年v一  有车位 房东诚意出售,绿城玉兰花园(一期),浦东,唐镇,1225.0,99748,2室2厅1厨2卫,南北,122.81㎡,高楼层 (共13层),平层,板楼,精装,一梯两户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105788293.html
三轨相交 楼层好 采光nice 精装修 拎包入住 诚意出售,金杨新村四街坊,浦东,金杨,496.0,82447,2室1厅1厨1卫,东,60.16㎡,高楼层 (共6层),平层,板楼,简装,一梯四户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105233467.html
小区房龄新，高楼层采光视野好，动迁税少,金沙鼎苑,嘉定,江桥,382.0,48130,2室2厅1厨1卫,南,79.37㎡,中楼层 (共18层),平层,板楼,毛坯,一梯四户,有,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105519903.html
正气南北三房！！！整个大居只这一个在卖的！！！,美罗家园宝欣苑五村,宝山,罗店,328.0,37025,3室1厅1厨1卫,南,88.59㎡,低楼层 (共18层),平层,板楼,毛坯,两梯四户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106205839.html
2017年品质小区+新城物业+地铁200米,新城盛世,青浦,盈浦,620.0,54766,3室2厅1厨2卫,南,113.21㎡,中楼层 (共16层),平层,板楼,精装,一梯两户,有,2022,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107105526912.html
近地铁+精装修+满五+诚意出售,新凯城香樟苑,松江,泗泾,315.9,39243,3室1厅1厨1卫,南北,80.5㎡,低楼层 (共14层),平层,板楼,精装,两梯四户,有,2022,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105877949.html
户型方正税费少房龄新的电梯房哪里找？看这个房子！！,美罗家园宝欣苑五村,宝山,罗店,305.0,34429,3室1厅1厨1卫,南,88.59㎡,低楼层 (共18层),平层,板楼,精装,一梯四户,暂无数据,2022,商品房,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107106260761.html
此房满五，南北，近地铁，税费少，业主诚意出售,顺驰美兰湖,宝山,罗店,378.0,40068,3室2厅1厨1卫,南北,94.34㎡,高楼层 (共5层),平层,板楼,精装,一梯两户,有,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105245472.html
业主诚意出售，全明户型，楼层好,中山西路644号,长宁,中山公园,400.0,67981,3室0厅1厨1卫,西南,58.84㎡,中楼层 (共7层),平层,板楼,毛坯,一梯六户,无,2021,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107104690620.html
大虹桥两房，一手动迁，全南户型，诚意出售,绿地新江桥城二期,嘉定,江桥,367.0,47028,2室2厅1厨1卫,南,78.04㎡,低楼层 (共15层),平层,板楼,毛坯,两梯四户,有,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105768989.html
满五+双南两房，中间楼层，全明户型近地铁,共富四村,宝山,共富,345.0,49698,2室1厅1厨1卫,南,69.42㎡,中楼层 (共6层),平层,板楼,简装,一梯四户,无,2022,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107105744553.html
龙阳CBD辐射区+近地铁2/7/16/18，视野开阔，采光充足,培花久远公寓,浦东,北蔡,450.0,68588,2室1厅1厨1卫,南,65.61㎡,高楼层 (共6层),平层,板楼,简装,一梯两户,无,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107105034051.html
一手动迁+看房方便+清水毛坯+景观楼层,惠益新苑南苑,浦东,惠南,298.0,29747,3室2厅1厨1卫,南,100.18㎡,高楼层 (共14层),平层,板楼,毛坯,两梯四户,有,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106239998.html
主推好房，满五年V一，双南户型，小区中间，诚意出售,盛源花园,闵行,梅陇,358.0,52780,2室1厅1厨1卫,南,67.83㎡,高楼层 (共6层),平层,板楼,简装,一梯三户,无,2022,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107105727667.html
内环内电梯两房 苏州河景。边套全明，采光无遮挡,万航小区,长宁,中山公园,480.0,78909,2室1厅1厨1卫,南北,60.83㎡,低楼层 (共25层),平层,板塔结合,简装,两梯九户,有,2022,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106046211.html
临地铁、精装修、位置楼层好、动迁房税费少、双南户型,君莲新城广润苑,闵行,颛桥,475.0,56087,2室2厅1厨1卫,南,84.69㎡,中楼层 (共11层),平层,板楼,精装,一梯三户,有,2022,动迁安置房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106171929.html
全大区都在主推 遥望三件套 南边西边都是湖景 不沿街,保利熙悦名邸,宝山,上大,750.0,70855,3室2厅1厨2卫,南北,105.85㎡,中楼层 (共25层),平层,板楼,精装,两梯两户,有,2022,商品房,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107106046120.html
桃浦新村热门 中间层双南 精装 没有第二套,桃浦七村雪松苑,普陀,桃浦,248.0,49820,2室0厅1厨1卫,南,49.78㎡,中楼层 (共6层),平层,板楼,精装,一梯四户,无,2023,商品房,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107106307936.html
精装修，内环北郊，双地铁交通，满五税少，看房方便！,天宝西路252弄,虹口,曲阳,280.0,65759,1室1厅1厨1卫,南,42.58㎡,中楼层 (共5层),平层,板楼,精装,一梯八户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106321024.html
出门世博源，出小区就是78号线地铁，带正规厅一个飘窗,上南二村,浦东,世博,398.0,79063,2室1厅1厨1卫,南北,50.34㎡,中楼层 (共5层),平层,板楼,精装,一梯四户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106298314.html
经典南北通，小户型，总价低。房东诚心卖,桃浦六村樱花苑,普陀,桃浦,207.0,49404,1室1厅1厨1卫,南,41.9㎡,中楼层 (共6层),平层,板楼,简装,一梯四户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106330580.html
静安区，总价低，精装修，税费少，钥匙房。,龙潭小区,静安,阳城,225.0,63345,1室0厅1厨1卫,南,35.52㎡,高楼层 (共6层),平层,板楼,简装,一梯五户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106314400.html
满五Only，南北户型，独门独户，采光视野好，诚意出售,东升家园(三期),浦东,航头,245.0,28262,2室2厅1厨1卫,南北,86.69㎡,低楼层 (共12层),平层,板楼,精装,一梯三户,有,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106294095.html
小户型 低总价 配套成熟 近地铁 采光充足 看房随时,岭南路270弄,静安,彭浦,230.0,53789,1室0厅1厨1卫,南,42.76㎡,高楼层 (共6层),平层,板楼,简装,一梯三户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106311282.html
张江东+二号线+唐镇国际社区+低密度+高品质小区,保利御樽苑(公寓),浦东,唐镇,1050.0,77497,3室2厅1厨2卫,南,135.49㎡,高楼层 (共17层),平层,板楼,毛坯,两梯两户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106344707.html
锦博苑 1室1厅 南,锦博苑,浦东,北蔡,475.0,85756,1室1厅1厨1卫,南,55.39㎡,低楼层 (共6层),平层,板楼,简装,一梯两户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106299746.html
精装修，双轨交通，满五双南两房，业主诚意出售,铁路新村(杨浦),杨浦,五角场,370.0,72878,2室0厅1厨1卫,南,50.77㎡,高楼层 (共6层),平层,板楼,精装,一梯三户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106303595.html
小户型 低总价 配套成熟 近地铁 采光充足 看房随时,岭南路270弄,静安,彭浦,230.0,53789,1室0厅1厨1卫,南,42.76㎡,高楼层 (共6层),平层,板楼,简装,一梯三户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106311282.html
张江东+二号线+唐镇国际社区+低密度+高品质小区,保利御樽苑(公寓),浦东,唐镇,1050.0,77497,3室2厅1厨2卫,南,135.49㎡,高楼层 (共17层),平层,板楼,毛坯,两梯两户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106344707.html
精装修，双轨交通，满五双南两房，业主诚意出售,铁路新村(杨浦),杨浦,五角场,370.0,72878,2室0厅1厨1卫,南,50.77㎡,高楼层 (共6层),平层,板楼,精装,一梯三户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106303595.html
静安区新上两房+西边套全明+低总价+非顶楼+看房方便,共康三村,静安,彭浦,270.0,53732,2室0厅1厨1卫,南,50.25㎡,高楼层 (共6层),平层,板楼,简装,一梯三户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106310955.html
一手动迁，前排位置，视野采光无遮挡,翔和雅苑,嘉定,南翔,270.0,49788,1室1厅1厨1卫,南,54.23㎡,低楼层 (共18层),平层,板楼,简装,两梯四户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106329331.html
一房的价格买两房，这房子真不错,报春二村,闵行,莘庄北广场,325.0,56512,2室1厅1厨1卫,南,57.51㎡,低楼层 (共6层),平层,板楼,毛坯,一梯四户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106339856.html
一手动迁 看房方便 总价比 诚意出售 价格可谈,美罗家园宝欣苑一村,宝山,罗店,215.0,31442,2室1厅1厨1卫,南,68.38㎡,低楼层 (共18层),平层,板楼,毛坯,两梯四户,有,2023,动迁安置房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107106320291.html
如果您买房，那么这套房子就是必选房，错过就是遗憾,西郊景平苑,闵行,华漕,239.0,45180,1室1厅1厨1卫,南,52.9㎡,低楼层 (共12层),平层,板楼,毛坯,一梯三户,有,2023,动迁安置房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106327743.html
锦博苑 1室1厅 南,锦博苑,浦东,北蔡,475.0,85756,1室1厅1厨1卫,南,55.39㎡,低楼层 (共6层),平层,板楼,简装,一梯两户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106299746.html
售后公房 全明格局 视野开阔 通风采光好  好房 好房,静安新城十一区,闵行,静安新城,399.0,60000,2室1厅1厨1卫,南,66.5㎡,高楼层 (共6层),平层,板塔结合,简装,一梯两户,无,2023,售后公房,普通住宅,未满两年,共有,https://sh.lianjia.com/ershoufang/107106355145.html
爱琴海旁03年商品房，经典飞机户型一梯一户，业主诚售,金汇福邸,闵行,金汇,1036.0,73237,3室1厅1厨2卫,南,141.46㎡,低楼层 (共8层),平层,板楼,精装,一梯两户,有,2023,商品房,普通住宅,未满两年,非共有,https://sh.lianjia.com/ershoufang/107106347640.html
南北全明+楼层位置好+近商圈地铁13号线+随时签字！,新长征花苑,普陀,长征,323.0,69703,1室1厅1厨1卫,南北,46.34㎡,中楼层 (共6层),平层,板楼,简装,一梯两户,无,2023,商品房,普通住宅,未满两年,非共有,https://sh.lianjia.com/ershoufang/107106354933.html
奉贤新城 天街旁 近BRT 金碧电梯大三房诚心卖可谈,金碧汇虹苑,奉贤,奉贤金汇,315.0,25982,3室2厅1厨1卫,南,121.24㎡,高楼层 (共11层),平层,板楼,精装,一梯两户,有,2023,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107106307827.html
近地铁+有车位+中间楼层+精装修+满五年,江海二村(奉贤),奉贤,南桥,160.0,18727,2室2厅1厨1卫,南,85.44㎡,中楼层 (共6层),平层,板楼,精装,一梯两户,无,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106307879.html
边套南北通，南朝别墅无遮挡，拎包入住,绿地香颂(浦东)(公寓),浦东,三林,680.0,76672,3室2厅2厨2卫,南,88.69㎡,低楼层 (共18层),平层,板楼,精装,两梯四户,有,2023,商品房,普通住宅,满两年,共有,https://sh.lianjia.com/ershoufang/107106292459.html
大华颐和华城(公寓) 2室1厅 南,大华颐和华城(公寓),普陀,万里,660.0,84746,2室1厅1厨1卫,南,77.88㎡,中楼层 (共6层),平层,板楼,其他,一梯两户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106324237.html
老城区少有精装大两房，装修三年，户型方正南北通!,环城新村,松江,松江老城,243.0,28345,2室1厅1厨1卫,南北,85.73㎡,高楼层 (共6层),平层,板楼,精装,一梯两户,无,2023,商品房,普通住宅,满五年,共有,https://sh.lianjia.com/ershoufang/107106318479.html
房子税费少 业主摇号杭州新房 很诚意卖,青春驿站,松江,九亭,220.0,53725,1室1厅1厨1卫,南,40.95㎡,中楼层 (共13层),暂无数据,板楼,简装,两梯十七户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106300039.html
中间楼层，满5年唯yi，s奢华家具只卖一个月,华润中央公园二期(陈翔公路1588弄),嘉定,南翔,596.0,70044,2室2厅1厨1卫,南,85.09㎡,低楼层 (共21层),平层,板楼,精装,两梯四户,有,2023,商品房,普通住宅,满两年,非共有,https://sh.lianjia.com/ershoufang/107106332922.html
带车位 楼层好 视野开阔，配套设施齐全，交通便利,伊泰利大厦,徐汇,建国西路,1136.0,105469,2室1厅1厨2卫,西南,107.71㎡,高楼层 (共24层),平层,塔楼,精装,两梯六户,有,2023,商品房,普通住宅,满五年,非共有,https://sh.lianjia.com/ershoufang/107106341142.html
